beneficiary_id, policy_holder_id, policy_id, first_name, last_name, dob, relationship, phone, email, address, city, state, zip, created_at, updated_at
1, 101, 1, John, Doe, 1985-06-15, Spouse, (800) 111-2222, john.doe@email.com, 123 Maple St, Springfield, IL, 62701, 2024-01-01, 2024-01-01
2, 102, 2, Jane, Smith, 1990-03-20, Child, (800) 222-3333, jane.smith@email.com, 456 Oak Ave, Chicago, IL, 60601, 2024-02-01, 2024-02-01
3, 103, 3, Mike, Johnson, 1978-07-30, Parent, (800) 333-4444, mike.johnson@email.com, 789 Pine Rd, Peoria, IL, 61602, 2024-03-01, 2024-03-01
4, 104, 4, Sarah, Lee, 1995-11-10, Sibling, (800) 444-5555, sarah.lee@email.com, 101 Birch Blvd, Champaign, IL, 61820, 2024-03-01, 2024-03-01
5, 105, 5, David, Brown, 1980-02-25, Spouse, (800) 555-6666, david.brown@email.com, 202 Cedar St, Bloomington, IL, 61701, 2024-04-01, 2024-04-01
6, 106, 6, Emily, Wilson, 1992-09-12, Child, (800) 666-7777, emily.wilson@email.com, 303 Elm Dr, Decatur, IL, 62521, 2024-05-01, 2024-05-01
7, 107, 7, James, Taylor, 1985-01-18, Parent, (800) 777-8888, james.taylor@email.com, 404 Willow Ln, Normal, IL, 61761, 2024-06-01, 2024-06-01
8, 108, 8, Anna, Clark, 1994-04-05, Spouse, (800) 888-9999, anna.clark@email.com, 505 Maple Dr, Urbana, IL, 61801, 2024-07-01, 2024-07-01
9, 109, 9, Robert, Harris, 1972-05-22, Parent, (800) 999-0000, robert.harris@email.com, 606 Pine Blvd, Carbondale, IL, 62901, 2024-08-01, 2024-08-01
10, 110, 10, Laura, Martin, 1988-03-28, Sibling, (800) 000-1111, laura.martin@email.com, 707 Oak Dr, Edwardsville, IL, 62025, 2024-09-01, 2024-09-01
11, 111, 11, Kevin, Young, 1996-02-17, Spouse, (800) 111-2222, kevin.young@email.com, 808 Cedar Rd, Quincy, IL, 62301, 2024-10-01, 2024-10-01
12, 112, 12, Olivia, King, 2000-08-12, Child, (800) 222-3333, olivia.king@email.com, 909 Birch St, Kankakee, IL, 60901, 2024-11-01, 2024-11-01
13, 113, 13, Daniel, Scott, 1983-12-05, Parent, (800) 333-4444, daniel.scott@email.com, 1010 Oak Ln, Springfield, IL, 62702, 2024-12-01, 2024-12-01
14, 114, 14, Michelle, Adams, 1991-07-09, Sibling, (800) 444-5555, michelle.adams@email.com, 1111 Pine Dr, Joliet, IL, 60431, 2024-01-01, 2024-01-01
15, 115, 15, Christopher, Evans, 1987-05-14, Spouse, (800) 555-6666, christopher.evans@email.com, 1212 Elm Rd, Rockford, IL, 61107, 2024-02-01, 2024-02-01
