policy_holder_id,first_name,last_name,dob,gender,phone,email,address,city,state,zip,policy_id,start_date,end_date,status
1,John,Doe,1985-06-15,Male,1234567890,john.doe@example.com,123 Elm St,Metropolis,NY,10001,101,2023-01-01,2024-01-01,Active
2,Jane,Smith,1990-03-22,Female,9876543210,jane.smith@example.com,456 Oak St,Gotham,CA,90001,102,2023-03-01,2024-03-01,Inactive
3,Sam,Taylor,1978-09-10,Non-Binary,4561237890,sam.taylor@example.com,789 Pine St,Star City,TX,75001,103,2023-05-15,2024-05-15,Active
4,Alice,Brown,1995-01-20,Female,3216549870,alice.brown@example.com,101 Maple Ave,Central City,FL,33101,104,2023-07-01,2024-07-01,Active
5,Robert,Wilson,1982-12-01,Male,7418529630,robert.wilson@example.com,202 Birch Rd,Smallville,IL,62704,105,2023-02-10,2024-02-10,Inactive
6,Emily,Clark,2000-10-05,Female,9638527410,emily.clark@example.com,303 Spruce Ln,Springfield,MA,01109,106,2023-06-20,2024-06-20,Active
7,Liam,Martinez,1987-08-15,Male,8529637410,liam.martinez@example.com,404 Ash St,Coast City,OR,97035,107,2023-08-01,2024-08-01,Active
8,Olivia,Garcia,1993-04-12,Female,1239874560,olivia.garcia@example.com,505 Cedar Ct,Brighton,CO,80601,108,2023-03-15,2024-03-15,Inactive
9,Ethan,Anderson,1991-02-22,Male,6543217890,ethan.anderson@example.com,606 Chestnut Blvd,Riverdale,GA,30078,109,2023-09-01,2024-09-01,Active
10,Isabella,Hernandez,1988-09-25,Female,7890123456,isabella.hernandez@example.com,707 Redwood Way,Twin Peaks,WA,98290,110,2023-10-01,2024-10-01,Active
11,James,Lopez,1994-05-10,Male,3219876543,james.lopez@example.com,808 Walnut Dr,Haven,VT,05401,111,2023-11-01,2024-11-01,Inactive
12,Sophia,Walker,1996-03-18,Female,9873216548,sophia.walker@example.com,909 Mahogany St,Eden,WI,53032,112,2023-12-01,2024-12-01,Active
13,Benjamin,Young,1983-06-30,Male,1472583690,benjamin.young@example.com,111 Hickory Ln,Greendale,AZ,85004,113,2023-04-01,2024-04-01,Active
14,Ava,Allen,1979-11-15,Female,9631472580,ava.allen@example.com,212 Sycamore Rd,Meadowbrook,NV,89005,114,2023-07-15,2024-07-15,Active
15,Lucas,King,1986-01-25,Male,7419638520,lucas.king@example.com,313 Fir Pl,Oakwood,OK,73008,115,2023-05-01,2024-05-01,Inactive
